pt;warao;es;descricao
pescoço;aaro;cuello;
filho;auka;auka;
filha;aukatida;aukatida;
sal;bamu;sal;
refrigerante;bereko;gaseosa;
cunhado;barayatu;cuñado;
cunhada;bigitida;cuñada;
barriga;bono;barriga;
banana;buratana;banana;
costas;dikaba;espalda;
vômito;dokojiya;vómito;
braço;jara;brazo;
língua;jono;lengua;
inflamação;jokojoko;inflamación;
anemia;jene;anemia;
coração;jokaro;corazón ;
nariz;jikari;nariz;
sede;jobiajera;sed;
rins;kamai;riñones;
joelho;kamukuru;rodilla;
cérebro;kuabo;cerebro;
fígado;kaya;hígado;
orelha;kojoko;oreja;
peito;mejo;pecho;
olho;mu;ojo;
unha;mojosí;clavo;
avó;natu;abuela;
bebê;noboto;bebé;
avô;nobo;abuelo;
tomar banho;nakokitane;bañarse;
fome;nojera;hambre;
quatro;orabakaya;cuatro;
pé;omu;pie;
gripe;obo;gripe;
cesárea;serenae;cesárea;
coceira;tiji tiji;rasquiña;
testa;tukaba;frente;
povo dos rios;Warao;gente de los ríos;nome do povo falante de warao
garganta;waroba;garganta;
segunda-feira;yaotaisaka;lunes;
bom;yakera;buenas;
bom;yakera;bien;
dia;jokonera;día;
tarde;anakuarika;tarde;
noite;imaya;noche;
boca;doko;boca;
seio;kami;seno;
cabelo;jio;cabello;
cotovelo;bojoka;codo;
mão;mojo;mano;
vagina;jokai;vagina;
pênis;wata;pene;
cabeça;kuá;cabeza;
bunda;jomuju;trasero;
nádegas;abate;nalgas;
perna;kaja;pierna;
anteperna;noi;pantorrilla;
canela;baji;canilla;
garganta;waroba;garganta;
costela;bamuju;costilla;
estômago;obono najoro ajanoko;estómago;
vesícula;bokabe;vesícula;
intestino;asomosomoko;intestino;
coriza;obo ainabara;flujo nasal;
nariz entupido;obo aikari mokoronae;nariz tapada;
falta de ar;jajina yakera naburanaja;falta de aire;
tosse;waroba tiji tiji;tos;
dor de barriga;makobe ajera;dor de barriga;
dor de estômago;makobe ajera;dor de estómago;
diarreia;sojo jowito kimiya;diarrea;
constipação;joto tai;estreñimiento;
vermes;kobejuba;parásitos;
corte;kabatanae;corte;
ferida;kabatanae;herida;
infecção;daisama majaya;infección;
absorventes;joto anamo;toallas higiénicas;
parto;yakera diawarae;parto;
não tive relações sexuais;nunca tuve relaciones sexuales;totoana;
preservativo;anoko guatanamo;condón;
vacinas;akosa abakitane;vacunas;
aleitar;ami orokitane;amamantar;
covid;covid;covid;
hipertensão;botobotera;presión alta;
hérnia;kabukari nabutonai;hérnia;
pus;kunaje;pus;
pus;onobo;pus;
tuberculose;obosabana;tuberculosis;
enxaqueca;kawajera abane akuajera;jaqueca;
doença sexualmente transimissível;samorona;enfermedad sexualmente transmisible;
infarto;jokarosinaka;infarto;
sangue;joto;sangre;
hiv - aids;wabasabana;vih - sida;
diabetes;jotu diabera;diabetes;
câncer;ekusabana;cáncer;
lixo;ajao;basura;
lixo;ajab;basura;
piolho;ami;piojo;
verme;joba ji ajuba;lombrices;
frango;karina atoma;pollo;
peixe;jonakaba;pescado;
sopa;isaba;sopa;
açúcar;daberaja;azúcar;
laranja;naranja;naranja;
fruta;dau akuaja;fruta;
farinha;arukobo;harina;
carne;ina atoma;carne;
marido;anibora;esposo;
esposa;atida;esposa;
tia;danikatida;tía;
tio;daku;tío;
mãe;daní;mamá;
papai;dima;papá;
irmão mais velho;daje;hermano mayor;
irmã mais velha;dakoi;hermana mayor;
irmão mais novo;daka;hermano menor;
irmã mais nova;doka;hermana menor;
namorado;aturubita;novio;
namorada;aturubita;novia;
neto;natoro;nieto;
um;isaka;uno;
dois;manamo;dos;
três;dianamo;trés;
cinco;muabasi;cinco;
seis;mojo amatana isaka;seis;
sete;mojo amatana manamo;siete;
oito;mono amatana dianamo;ocho;
nove;mojo amatana orabakaja;nueve;
dez;mojoreko;diez;
onze;mojoreko arai isaka;once;
doze;mojoreko arai manamo;doce;
treze;mojoreko arai dianamo;trece;
quatrorze;mojoreko arai orabakaya;catorce;
quinze;mojoreko arai muabasi;quince;
dezesseis;mojoreko arai mauabasi mojo amatana isaka;dieciséis;
dezessete;mojoreko arai muabasi mojo amatana manama;diecisiete;
dezoito;mojoreko arai muabasi mojo amatana dianamo;dieciocho;
dezenove;mojoreko arai muabasi mojo amatana orabakaja;diecinueve;
terça-feira;yaotaaraisa;martes;
quarta-feira;yaotariana;miércoles;
quinta-feira;yaotarorawabakaia;jueves;
sexta-feira;yaotamoabasi;viernes;
sábado;misaraka;sábado;
domingo;misa;domingo;
